transaction_hash,trace_involved_amt,from_address,to_address,block_timestamp,gas,gas_price,receipt_cumulative_gas_used,receipt_gas_used,value,nonce,transaction_type,rn,contract_block_involved,contract_tx_count,contract_block_per_tx,contract_main_active_days,sender_block_involved,sender_tx_count,sender_block_per_tx,sender_main_active_days,sender_lifetime_days,sender_lifetime_block,contract_interact,add_feat_hash,sender_tx_count_call_contract,sender_days_call_contract,trace_amt,distinct_sender_in_contract,contract_lifetime_days,contract_lifetime_block,distinct_contract_sender_called,contract_involved_amt,max_breadth,depth,distinct_was_called_in_sample,distinct_sender_call_in_sample,is_sus
0x960170326c0321b50e04633692063a26b1349f92524cd11dc3c92d005d3d5037,1,0x549efe37d5460450a989babc748b6a0b26b64f40,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-28 22:15:47+00:00,2148034,15999715230,9080899,1943634,66343042100000000,255,2,13,882,895,0.9854748603351954,111,258,270,0.9555555555555556,80,630,4091195,168,0x960170326c0321b50e04633692063a26b1349f92524cd11dc3c92d005d3d5037,4,2,43,252,162,1116445,74,4,41.0,1.0,1,2,0
0xa97729bd440f324b615ec3c0e1e4718c621a434c06fc0c1aa50316a6af2e5b85,1,0x549efe37d5460450a989babc748b6a0b26b64f40,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-28 22:29:11+00:00,326388,15385839059,11630034,297588,6472492000000000,257,2,12,883,896,0.9854910714285714,111,260,272,0.9558823529411764,80,630,4091262,169,0xa97729bd440f324b615ec3c0e1e4718c621a434c06fc0c1aa50316a6af2e5b85,5,2,10,252,162,1116512,75,5,4.0,2.0,1,2,0
0xe3848b40e26d77bb6c016b801cbd47620c6e6b8bf9158cf9171a56355db2fece,1,0x6e09f230d90dad2bbf4bd5f96fdf93fee27aa8ca,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-28 23:26:11+00:00,946221,15518050639,9719720,860221,37216828500000000,729,2,11,884,897,0.9855072463768116,111,732,747,0.9799196787148594,208,524,3412217,170,0xe3848b40e26d77bb6c016b801cbd47620c6e6b8bf9158cf9171a56355db2fece,14,3,35,252,162,1116797,308,11,23.0,2.0,1,8,0
0x8097f316c41aee6fc21afbf1972e29df0f701679a488d4eb5623f1ba162fa18c,1,0x6e09f230d90dad2bbf4bd5f96fdf93fee27aa8ca,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-28 23:27:47+00:00,56845,14807853212,3316022,56845,0,730,2,10,885,898,0.985523385300668,111,733,748,0.9799465240641712,208,524,3412225,171,0x8097f316c41aee6fc21afbf1972e29df0f701679a488d4eb5623f1ba162fa18c,15,3,3,252,162,1116805,308,3,1.0,1.0,1,2,0
0xd3775266daf2ce0dba3f8cb7e7fa7a74314682377b03e0f0b0747bca0a55237c,1,0x279ab61ebeec7c354a05caa1878f269105d759ac,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-28 23:56:11+00:00,111729,14452934491,5747913,106929,1618123000000000,349,2,9,886,899,0.985539488320356,111,378,384,0.984375,150,516,3357308,172,0xd3775266daf2ce0dba3f8cb7e7fa7a74314682377b03e0f0b0747bca0a55237c,6,4,3,252,162,1116947,107,4,1.0,1.0,1,2,0
0x3aa126ded66cea7a78d10e63e2feec93d27ef9c570ee87b4bca5f24e9d133b67,1,0x4831fae5df05008cce984d71ee4e6fa78b09d53e,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-29 00:21:23+00:00,263967,15832741980,4218235,239967,4854369000000000,961,2,8,887,900,0.9855555555555556,112,955,970,0.9845360824742267,229,831,5395094,173,0x3aa126ded66cea7a78d10e63e2feec93d27ef9c570ee87b4bca5f24e9d133b67,2,2,5,252,163,1117072,237,4,3.0,1.0,1,2,0
0xa91624b9f1c2a3a55539df1d6ec3220b405e3831d1474500f6c8266eafb328b5,1,0xa8d6b42a88bd1aeb61e6b7dce475c964bd72eb18,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-29 03:21:35+00:00,172532,15399675827,4311707,167732,6472492000000000,1319,2,7,888,901,0.9855715871254161,112,1369,1438,0.9520166898470096,338,913,5924252,174,0xa91624b9f1c2a3a55539df1d6ec3220b405e3831d1474500f6c8266eafb328b5,1,1,6,253,163,1117967,341,4,4.0,1.0,1,2,0
0xbf294c76fb501f9daf6df162b703f2b88fc955cee01209236ca48c39451f3977,1,0xa8d6b42a88bd1aeb61e6b7dce475c964bd72eb18,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-29 03:22:23+00:00,153787,15995304355,4763718,139387,1618123000000000,1320,2,6,889,902,0.9855875831485588,112,1370,1439,0.9520500347463516,338,913,5924256,175,0xbf294c76fb501f9daf6df162b703f2b88fc955cee01209236ca48c39451f3977,2,1,3,253,163,1117971,341,4,1.0,1.0,1,2,0
0xa68eabc49bf6743b030dfd1334a519c0531883a6901fc7abd2efc91fc9e62941,1,0x07646c79de3c4451bf73b322b199b9977cc0cd8d,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-29 04:16:23+00:00,556507,14185881751,13152493,508507,14563106800000000,1329,2,5,890,903,0.9856035437430786,112,1413,1432,0.986731843575419,274,393,2565124,176,0xa68eabc49bf6743b030dfd1334a519c0531883a6901fc7abd2efc91fc9e62941,1,1,11,254,163,1118241,418,4,9.0,1.0,1,2,0
0x18f04d457b9876ff5868b12724b93abd8b4dc4160f1ac7f416ee5de1cade8abd,1,0x07646c79de3c4451bf73b322b199b9977cc0cd8d,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-29 04:16:59+00:00,56833,14082014201,5998833,56833,0,1330,2,4,891,904,0.9856194690265486,112,1414,1433,0.9867411025819957,274,393,2565127,177,0x18f04d457b9876ff5868b12724b93abd8b4dc4160f1ac7f416ee5de1cade8abd,2,1,3,254,163,1118244,418,3,1.0,1.0,1,2,0
0x3528ab1f940eb99d694dd4d8a06828ce70e94599e2eed5432b52698edf8f3c24,1,0x07646c79de3c4451bf73b322b199b9977cc0cd8d,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-29 04:21:11+00:00,274668,16400682551,5982103,247868,4854369000000000,1333,2,3,892,905,0.985635359116022,112,1417,1436,0.9867688022284122,274,393,2565148,178,0x3528ab1f940eb99d694dd4d8a06828ce70e94599e2eed5432b52698edf8f3c24,3,1,5,254,163,1118265,418,5,3.0,1.0,1,3,0
0xb949a8a7b9c9a8e21ebf33daf0d32b5a1f810f410de8a672288a7a7660505536,1,0x07646c79de3c4451bf73b322b199b9977cc0cd8d,0xf2919d1d80aff2940274014bef534f7791906ff2,2022-12-29 04:21:47+00:00,56845,15050054861,4625324,56845,0,1334,2,2,893,906,0.9856512141280352,112,1418,1437,0.9867780097425192,274,393,2565151,179,0xb949a8a7b9c9a8e21ebf33daf0d32b5a1f810f410de8a672288a7a7660505536,4,1,3,254,163,1118268,418,3,1.0,1.0,1,2,0
